1990 11422 19783 30178 6930 51662 35740
1991 11641 21000 30220 7141 52578 38579
1992 11494 20269 30114 7312 52913 41062
1993 10584 18473 29460 7407 51906 42184
1994 10186 17326 28449 7311 51037 42905
1995 9730 16024 26891 6959 48684 41598
1996 8961 14199 25033 6493 44649 39012
1997 8496 13077 24163 6311 42761 37964
1998 8068 12606 23993 6368 42468 38675
1999 8092 12286 24022 6448 43132 40472
2000 8120 12263 24653 6666 43152 42000
2001 8452 12743 25175 6768 44850 44229
2002 8954 13061 25279 6827 46410 47225
2003 9633 13454 25891 6985 48952 49816
2004 10471 14603 26568 7247 50960 52135
2005 11166 15428 26836 7176 52195 53314
2006 11796 16376 26799 7237 51439 53594
2007 12140 16763 27032 7710 51588 54623
2008 12749 17723 27883 8289 52722 56489
2009 13577 18576 28943 9032 55993 60646
2010 13824 19056 29911 9963 57859 63615
2011 13669 18625 31051 10599 58099 64306
2012 13161 17503 31834 11104 56185 62500
2013 13765 17994 34303 12220 56974 64115
